Film Adı,Film Puanı,Puanlama Sayısı,Film Yılı,Film Süresi,Kayıt Tarihi
1. The Shawshank Redemption,9.3,3M,1994,2h 22m,22-05-2025
2. The Godfather,9.2,2.1M,1972,2h 55m,22-05-2025
3. The Dark Knight,9.0,3M,2008,2h 32m,22-05-2025
4. The Godfather Part II,9.0,1.4M,1974,3h 22m,22-05-2025
5. 12 Angry Men,9.0,926K,1957,1h 36m,22-05-2025
6. The Lord of the Rings: The Return of the King,9.0,2.1M,2003,3h 21m,22-05-2025
7. Schindler's List,9.0,1.5M,1993,3h 15m,22-05-2025
8. Pulp Fiction,8.9,2.3M,1994,2h 34m,22-05-2025
9. The Lord of the Rings: The Fellowship of the Ring,8.9,2.1M,2001,2h 58m,22-05-2025
"10. Il buono, il brutto, il cattivo",8.8,854K,1966,2h 41m,22-05-2025
11. Forrest Gump,8.8,2.4M,1994,2h 22m,22-05-2025
12. The Lord of the Rings: The Two Towers,8.8,1.9M,2002,2h 59m,22-05-2025
13. Fight Club,8.8,2.5M,1999,2h 19m,22-05-2025
14. Inception,8.8,2.7M,2010,2h 28m,22-05-2025
15. Star Wars: Episode V - The Empire Strikes Back,8.7,1.4M,1980,2h 4m,22-05-2025
16. The Matrix,8.7,2.2M,1999,2h 16m,22-05-2025
17. GoodFellas,8.7,1.3M,1990,2h 25m,22-05-2025
18. Interstellar,8.7,2.3M,2014,2h 49m,22-05-2025
19. One Flew Over the Cuckoo's Nest,8.7,1.1M,1975,2h 13m,22-05-2025
20. Se7en,8.6,1.9M,1995,2h 7m,22-05-2025
